Employee ID,First Name,Last Name,Department,Location,Hire Date,Job Title,Email Address
1001,John,Doe,Finance,New York,6/1/2018,Financial Analyst,johndoe@examplecorp.com
1002,Jane,Smith,HR,San Francisco,3/15/2019,HR Manager,janesmith@examplecorp.com
1003,Jane,Johnson,IT,Chicago,9/1/2020,Network Engineer,alexjohnson@examplecorp.com
1004,Maria,Garcia,Marketing,New York,12/4/2017,Social Media Mgr,mariagarcia@examplecorp.com
1005,James,Brown,Sales,Miami,5/23/2021,Sales Representative,jamesbrown@examplecorp.com
1006,Linda,Martinez,Finance,San Francisco,11/19/2018,Accountant,lindamartinez@examplecorp.com
1007,Michael,Wilson,HR,Chicago,2/10/2021,Recruiter,michaelwilson@examplecorp.com
1008,Sarah,Davis,IT,New York,7/15/2019,Software Engineer,sarahdavis@examplecorp.com
1009,Robert,Lee,Marketing,Miami,5/30/2020,Marketing Analyst,robertlee@examplecorp.com
1010,Laura,Kim,Sales,San Francisco,1/12/2017,Sales Manager,laurakim@examplecorp.com
1011,Peter,Clark,Finance,Chicago,8/22/2021,Financial Manager,peterclark@examplecorp.com
1012,Emma,Lewis,HR,New York,3/5/2018,HR Assistant,emmalewis@examplecorp.com
1013,David,Walker,IT,San Francisco,10/25/2019,IT Support,davidwalker@examplecorp.com
1014,Amy,Young,Marketing,Chicago,9/18/2017,Content Strategist,amyyoung@examplecorp.com
1015,Richard,King,Sales,New York,11/9/2020,Account Executive,richardking@examplecorp.com
